ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_obs_rehosprate,ltcfocus_adj_rehosprate,ltcfocus_source_file,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_certified_beds,cms_average_residents,cms_chow_last_12mos,cms_overall_rating,cms_survey_rating,cms_quality_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_provider_aide_hprd,cms_provider_lpn_hprd,cms_provider_rn_hprd,cms_provider_total_licensed_hprd,cms_provider_total_nurse_hprd,cms_provider_pt_hprd,cms_staffing_file_quarters,cms_staffing_file_aide_hprd,cms_staffing_file_lpn_hprd,cms_staffing_file_rn_hprd,cms_staffing_file_total_licensed_hprd,cms_staffing_file_total_nurse_hprd,cms_staffing_file_pt_hprd,cms_staffing_file_expected_aide,cms_staffing_file_expected_lpn,cms_staffing_file_expected_rn,cms_staffing_file_expected_total,cms_staffing_file_adjusted_aide,cms_staffing_file_adjusted_lpn,cms_staffing_file_adjusted_rn,cms_staffing_file_adjusted_total,cms_deficiency_citations,cms_deficiency_distinct_tags,cms_deficiency_complaint_citations,cms_deficiency_standard_citations,cms_deficiency_unique_survey_dates,cms_survey_summary_health_deficiencies,cms_survey_summary_fire_deficiencies,cms_survey_summary_health_severity_score,cms_survey_summary_health_ij_count,cms_survey_summary_health_severe_count
155762,FOREST PARK HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2013,-2,FOREST PARK HEALTH CAMPUS,IN,70,,59.36,41.38,41.38,0.431,1.681,1.59,3.702,0.1779,0.1734,facility_2013.xls,FOREST PARK HEALTH CAMPUS,FOR PROFIT - CORPORATION,Legal Business Name Not Available,70,60,N,5,5,3,4,4,1.91,1.38,0.94,2.32,4.23,0.1,4.0,1.91,1.38,0.94,2.32,4.23,0.14500000000000002,2.4135,0.6875,1.276,4.38,1.9425,1.6624999999999999,0.55,3.9,3.0,3.0,0.0,3.0,1.0,,,,,
155762,FOREST PARK HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2014,-1,FOREST PARK HEALTH CAMPUS,IN,70,,59.78,41.38,41.38,0.431,1.681,1.59,3.702,0.1742,0.1626,facility_2014.xls,FOREST PARK HEALTH CAMPUS,For profit - Corporation,TRILOGY HEALTHCARE OPERATIONS OF RICHMOND LLC,70,58,N,5,5,4,4,4,1.78707,1.68103,0.99138,2.67241,4.45948,0.21897,4.0,1.78707,1.68103,0.99138,2.67241,4.45948,0.21897,2.3039625,0.651695,1.1832775,4.13893,1.903275,2.1412725,0.62635,4.3433675,7.0,7.0,6.0,1.0,2.0,,,,,
155762,FOREST PARK HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2015,0,FOREST PARK HEALTH CAMPUS,IN,70,,60.57,34.38,51.56,0.375,1.0,2.0,3.375,0.2145,0.2016,facility_2015.xls,FOREST PARK HEALTH CAMPUS,For profit - Corporation,HENRY COUNTY MEMORIAL HOSPITAL,70,64,Y,3,3,3,3,3,2.0,1.0,0.79922,1.79922,3.79922,0.08906,4.0,1.9467675,1.1702575,0.84726,2.0175175000000003,3.9642850000000003,0.12153749999999999,2.2971075,0.69036,1.2831825000000001,4.270645,2.0794575,1.4195425000000002,0.49748000000000003,3.7492900000000002,9.0,9.0,4.0,5.0,2.0,,,,,
155762,FOREST PARK HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2016,1,FOREST PARK HEALTH CAMPUS,IN,70,,59.63,40.3,40.3,0.419,1.261,2.067,3.747,0.1939,,facility_2016.xls,FOREST PARK HEALTH CAMPUS,For profit - Corporation,HENRY COUNTY MEMORIAL HOSPITAL,70,64,Y,3,3,4,3,3,2.0,1.0,0.79922,1.79922,3.79922,0.08906,4.0,2.0335799999999997,1.130595,0.80446,1.93506,3.968635,0.09789,2.347485,0.711885,1.3314050000000002,4.390775,2.1261200000000002,1.316735,0.45147000000000004,3.6418049999999997,8.0,7.0,4.0,4.0,3.0,,,,,
155762,FOREST PARK HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2017,2,FOREST PARK HEALTH CAMPUS,IN,70,46,54.66,66.07,25.0,0.509,0.851,2.004,3.363,0.1556,,facility_2017.xls,FOREST PARK HEALTH CAMPUS,Government - County,HENRY COUNTY MEMORIAL HOSPITAL,70,56,N,3,3,3,3,4,2.12232,0.85089,0.92054,1.77143,3.89375,0.10982,,,,,,,,,,,,,,,,21.0,16.0,8.0,13.0,6.0,4,,,0,0
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2013,-2,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,60,,51.12,8.47,67.8,0.572,1.092,2.156,3.82,0.1743,0.1902,facility_2013.xls,COBBLESTONE CROSSINGS HEALTH CAMPUS,FOR PROFIT - CORPORATION,Legal Business Name Not Available,60,46,N,3,2,4,5,5,2.74,1.87,1.23,3.1,5.84,0.25,4.0,2.305,1.2850000000000001,1.11,2.395,4.6925,0.2225,2.4347499999999997,0.6655,1.3467500000000001,4.445,2.3225,1.6025,0.615,4.2675,5.0,5.0,1.0,4.0,3.0,,,,,
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2014,-1,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,60,,51.87,16.67,55.56,0.544,1.157,2.345,4.046,0.1581,0.1639,facility_2014.xls,COBBLESTONE CROSSINGS HEALTH CAMPUS,For profit - Corporation,TRILOGY HEALTHCARE OF VIGO LLC,60,54,N,3,2,3,4,4,2.34537,1.15741,0.83704,1.99444,4.33982,0.21204,4.0,2.2506500000000003,1.1248900000000002,0.95157,2.076455,4.327109999999999,0.21492,2.4971475,0.6746975,1.31219,4.4840349999999995,2.2126375,1.3855300000000002,0.5405325000000001,3.8932575,9.0,9.0,1.0,8.0,2.0,,,,,
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2015,0,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,60,,53.14,18.18,61.82,0.625,1.616,2.137,4.378,0.1905,0.2033,facility_2015.xls,COBBLESTONE CROSSINGS HEALTH CAMPUS,For profit - Corporation,PUTNAM COUNTY HOSPITAL,60,55,Y,4,3,4,5,5,2.13727,1.61636,1.27636,2.89273,5.02999,0.19909,4.0,2.24132,1.386885,1.0567,2.4435849999999997,4.684905,0.205565,2.3679875,0.6553525,1.2656475,4.288987499999999,2.3212075,1.7513675,0.6187549999999999,4.4012775,9.0,9.0,2.0,7.0,3.0,,,,,
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2016,1,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,60,,51.69,19.3,61.4,0.358,1.496,2.211,4.065,0.2109,,facility_2016.xls,COBBLESTONE CROSSINGS HEALTH CAMPUS,For profit - Corporation,PUTNAM COUNTY HOSPITAL,60,55,N,4,3,3,5,5,2.13727,1.61636,1.27636,2.89273,5.02999,0.19909,4.0,2.155585,1.5863925,1.118455,2.704855,4.8604325,0.199755,2.3424175,0.6594249999999999,1.3154325,4.317275,2.2581275,1.9969649999999999,0.634335,4.5405825,5.0,5.0,0.0,5.0,1.0,,,,,
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,American Healthcare REIT / Trilogy,2017,2,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,60,40,49.45,46.51,48.84,0.445,1.395,2.306,4.147,0.2117,0.2014,facility_2017.xls,COBBLESTONE CROSSINGS HEALTH CAMPUS,Government - County,PUTNAM COUNTY HOSPITAL,60,43,N,5,3,5,4,4,2.37093,1.39535,0.97907,2.37442,4.74535,0.24884,,,,,,,,,,,,,,,,20.0,13.0,2.0,18.0,4.0,9,,,0,0
