145982,MANORCARE OF NORTHBROOK,IL
145999,GROSSE POINTE MANOR,IL
146030,HEARTLAND CHRISTIAN VILLAGE,IL
146039,EASTVIEW TERRACE,IL
146082,FRANKFORT HEALTHCARE & REHAB CENTER,IL
146084,PLEASANT VIEW REHAB & HCC,IL
146106,SCOTT COUNTY NURSING CENTER,IL
146113,CUMBERLAND REHAB & HEALTH CC,IL
146126,OUR LADY OF ANGELS RET HOME,IL
155005,MANORCARE HEALTH SERVICES,IN
155039,MILLER'S MERRY MANOR,IN
155076,GOLDEN LIVING CENTER- BROOKVIEW,IN
155224,COLUMBIA HEALTHCARE CENTER,IN
155228,HERITAGE HOUSE OF RICHMOND,IN
155247,MANORCARE HEALTH SERVICES,IN
155263,LOOGOOTEE NURSING CENTER,IN
155270,CORE OF HUNTINGBURG INC,IN
155338,MANORCARE HEALTH SERVICES - PRESTWICK,IN
155364,BYRON HEALTH CENTER,IN
155401,BEN HUR HOME,IN
155527,PINEKNOLL REHABILITATION CENTRE,IN
155561,GOOD SAMARITAN HOME AND REHABILITATION,IN
155637,CHICAGOLAND CHRISTIAN VILLAGE,IN
155668,PROVIDENCE RETIREMENT HOME,IN
155741,FRIENDSHIP HEALTHCARE,IN
155757,ROSEGATE VILLAGE LLC,IN
155764,SPRING MILL HEALTH CAMPUS,IN
155769,MORRISON WOODS HEALTH CAMPUS,IN
165017,MANORCARE HEALTH SERVICES,IA
165033,MANORCARE HEALTH SERVICES,IA
165034,MANORCARE HEALTH SERVICES,IA
165104,MANORCARE HEALTH SERVICES,IA
165165,PARKVIEW NURSING & REHAB CENTE,IA
165169,GOOD SAMARITAN SOCIETY - DAVENPORT,IA
165210,GOOD SAMARITAN SOCIETY - SAINT ANSGAR,IA
165263,MECHANICSVILLE NURSING & REHAB CENTER,IA
165266,HOLY SPIRIT RETIREMENT HOME,IA
165280,BETTENDORF HEALTH CARE CENTER,IA
165288,ATLANTIC NURSING & REHAB CENTE,IA
165294,AVOCA NURSING & REHAB CENTER,IA
165330,CHEROKEE VILLA NURSING & REHAB,IA
165338,NORTHGATE CARE CENTER,IA
165383,GREENFIELD MANOR,IA
165397,HEARTLAND CARE CENTER,IA
165441,SUNNY VIEW CARE CENTER,IA
165452,WAPELLO NURSING & REHAB CENTER,IA
165461,POCAHONTAS MANOR CARE CENTER,IA
165498,EVANGELICAL FREE CHURCH HOME,IA
165555,ADEL ACRES CARE CENTER,IA
165566,HIGHLAND RIDGE CARE CENTER,IA
165575,MANORCARE HEALTH SERVICES-UTICA RIDGE,IA
165583,THE VILLAGE AT LEGACY POINTE NURSING F,IA
175157,LIFE CARE CENTER OF ANDOVER,KS
175168,MANORCARE HEALTH SERVICES - WICHITA,KS
