ccn_str,facility_name_reit_file,state,owner_cluster,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,ltcfocus_source_file
105389,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND HEALTH CARE CENTER - NORTH S,FL,87,,,55.41,10.81,0.4614864864864865,0.6614864864864864,2.788513513513513,3.9114864864864862,facil2010new.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,74.93,54.88,21.95,0.473,0.826,2.512,3.81,facility_2011.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,73.93,60.87,14.49,0.462,1.051,2.975,4.488,facility_2012.xls
105389,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND HEALTH CARE CENTER - NORTH SARASOTA,FL,87,,78.16,50.62,20.99,0.407,0.854,2.644,3.906,facility_2013.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,,53.01,20.48,0.508433734939759,0.7713855421686747,2.971987951807229,4.251807228915663,facil2009new.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,,43.71,26.35,0.5,0.7110778443113772,2.8766467065868264,4.087724550898203,facil2010new.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,162.06,50.94,16.35,0.595,0.83,2.834,4.259,facility_2011.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,160.04,56.8,21.89,0.442,0.756,2.588,3.786,facility_2012.xls
105454,MANORCARE HEALTH SERVICES SARASOTA,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES SARASOTA,FL,178,,159.96,59.2,20.11,0.432,0.759,2.623,3.814,facility_2013.xls
105481,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES,FL,180,,,69.62,11.39,0.4990506329113923,1.0411392405063291,2.953164556962025,4.493354430379747,facil2009new.xls
105481,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES,FL,180,,,77.92,9.74,0.487012987012987,0.975,1.7889610389610389,3.250974025974026,facil2010new.xls
105481,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES,FL,180,,157.17,77.92,9.74,0.487,0.975,2.606,4.068,facility_2011.xls
105481,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES,FL,180,,158.01,76.05,10.78,0.337,1.104,2.551,3.991,facility_2012.xls
105481,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES,FL,180,,164.39,83.64,11.52,0.109,1.036,2.597,3.742,facility_2013.xls
105496,MANORCARE HEALTH SERVICES BOYNTON BEAC,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES BOYNTON BEAC,FL,180,,,57.4,20.71,0.449112426035503,0.8784023668639054,2.7544378698224854,4.081952662721894,facil2009new.xls
105496,MANORCARE HEALTH SERVICES BOYNTON BEAC,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES BOYNTON BEAC,FL,180,,,49.12,19.88,0.5491228070175439,0.758187134502924,2.778654970760234,4.085964912280702,facil2010new.xls
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,180,,143.33,50.6,19.64,0.478,0.782,2.707,3.966,facility_2011.xls
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,180,,142.89,45.93,27.41,0.588,1.053,3.004,4.646,facility_2012.xls
105496,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES BOYNTON BEACH,FL,180,,140.11,55.8,21.74,0.13,0.808,2.578,3.516,facility_2013.xls
105499,MANORCARE AT LELY PALMS,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE AT LELY PALMS,FL,117,,,41.23,45.61,0.7017543859649122,0.549561403508772,3.074561403508772,4.325877192982456,facil2009new.xls
105499,MANORCARE AT LELY PALMS,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE AT LELY PALMS,FL,117,,,51.43,38.1,0.7157142857142856,0.5666666666666667,2.7738095238095237,4.056190476190476,facil2010new.xls
105499,MANORCARE AT LELY PALMS,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE AT LELY PALMS,FL,117,,109.11,42.99,48.6,0.771,0.559,2.902,4.233,facility_2011.xls
105499,MANORCARE AT LELY PALMS,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE AT LELY PALMS,FL,117,,106.88,43.52,35.19,0.548,0.725,2.594,3.868,facility_2012.xls
105499,MANORCARE AT LELY PALMS,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE AT LELY PALMS,FL,117,,109.46,39.81,37.04,0.708,0.611,2.325,3.644,facility_2013.xls
105519,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2009,-2,MANORCARE HEALTH SERVICES,FL,120,,,50.0,19.09,0.319090909090909,0.9827272727272728,3.053181818181818,4.355,facil2009new.xls
105519,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2010,-1,MANORCARE HEALTH SERVICES,FL,120,,,44.25,27.43,0.2884955752212388,1.124778761061947,2.688938053097345,4.10221238938053,facil2010new.xls
105519,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2011,0,MANORCARE HEALTH SERVICES,FL,120,,112.52,50.47,27.1,0.361,1.213,2.75,4.324,facility_2011.xls
105519,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2012,1,MANORCARE HEALTH SERVICES,FL,120,,110.28,56.76,21.62,0.486,0.959,2.552,3.997,facility_2012.xls
105519,MANORCARE HEALTH SERVICES,FL,Healthpeak / HCR ManorCare,2013,2,MANORCARE HEALTH SERVICES,FL,120,,107.61,39.66,25.86,0.384,0.873,2.353,3.61,facility_2013.xls
105599,HEARTLAND OF ZEPHYRHILLS,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND OF ZEPHYRHILLS,FL,120,,,70.64,17.43,0.3990825688073394,0.8330275229357798,2.735321100917431,3.9674311926605506,facil2009new.xls
105599,HEARTLAND OF ZEPHYRHILLS,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND OF ZEPHYRHILLS,FL,120,,,57.14,34.29,0.4214285714285714,0.8633333333333333,3.020952380952381,4.305714285714285,facil2010new.xls
105599,HEARTLAND OF ZEPHYRHILLS,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND OF ZEPHYRHILLS,FL,120,,107.24,56.48,24.07,0.497,0.673,2.396,3.565,facility_2011.xls
105599,HEARTLAND OF ZEPHYRHILLS,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND OF ZEPHYRHILLS,FL,120,,107.32,62.16,27.03,0.641,0.542,2.356,3.539,facility_2012.xls
105599,HEARTLAND OF ZEPHYRHILLS,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND OF ZEPHYRHILLS,FL,120,,102.68,62.16,27.03,0.641,0.542,2.356,3.539,facility_2013.xls
105606,HEARTLAND OF BROOKSVILLE,FL,Healthpeak / HCR ManorCare,2009,-2,HEARTLAND OF BROOKSVILLE,FL,120,,,80.49,12.2,0.450609756097561,0.9652439024390244,3.1060975609756096,4.521951219512195,facil2009new.xls
105606,HEARTLAND OF BROOKSVILLE,FL,Healthpeak / HCR ManorCare,2010,-1,HEARTLAND OF BROOKSVILLE,FL,120,,,69.66,10.11,0.2713483146067416,1.048314606741573,2.6724719101123595,3.992134831460674,facil2010new.xls
105606,HEARTLAND OF BROOKSVILLE,FL,Healthpeak / HCR ManorCare,2011,0,HEARTLAND OF BROOKSVILLE,FL,120,,91.81,58.95,27.37,0.362,1.077,2.748,4.187,facility_2011.xls
105606,HEARTLAND OF BROOKSVILLE,FL,Healthpeak / HCR ManorCare,2012,1,HEARTLAND OF BROOKSVILLE,FL,120,,89.92,74.42,10.47,0.399,0.905,2.512,3.816,facility_2012.xls
105606,HEARTLAND OF BROOKSVILLE,FL,Healthpeak / HCR ManorCare,2013,2,HEARTLAND OF BROOKSVILLE,FL,120,,88.98,74.42,10.47,0.399,0.905,2.512,3.816,facility_2013.xls
