ccn_str,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_occupancy_pct,ltcfocus_rn_hprd,ltcfocus_directcare_hprd,baseline_medicaid_share,ltcfocus_medicare_share,baseline_support_years,sample_role,valid_pseudocohorts,analysis_state,facility_name_treatment,treat_year,treated_ever
345450,68.0,4.0,91.03099999999999,0.205560386591632,3.348989136285784,70.50699999999999,12.709999999999999,10.0,treated,,NC,Westwood Health and Rehabilitation,2019.0,1
345464,60.0,1.5,92.499,0.2044142300194932,3.559307797270955,54.883,28.948,10.0,treated,,NC,Oak Grove Healthcare,2019.0,1
345466,76.0,6.0,92.36800000000001,0.2832223602484472,3.2031759834368527,72.83099999999999,10.344,10.0,treated,,NC,Willowbrook Rehabilitation and Care,2019.0,1
345473,70.0,3.5,93.856,0.416012431012972,3.4222377656647547,59.274,17.511000000000003,10.0,treated,,NC,Wilora Lake Healthcare,2019.0,1
345477,100.0,7.0,92.6,0.38181182795698926,3.1253655913978493,60.352999999999994,13.529,10.0,treated,,NC,Biltmore Haven Nursing and Rehabilitation,2019.0,1
366365,53.333333333333336,5.0,89.22166666666668,0.6104710144927536,4.181311594202898,18.290000000000003,38.155,6.0,treated,,OH,WILLOWS AT BELLEVUE,2015.0,1
395172,159.0,5.0,94.96900000000001,0.24789270727217882,3.087079269572271,68.978,8.765,10.0,treated,,PA,"MANOR AT PENN VILLAGE, THE",2019.0,1
395265,120.0,3.5,93.751,0.3180270114942529,3.1695129310344825,63.4,19.782999999999998,10.0,treated,,PA,"PAVILION AT ST LUKE VILLAGE, THE",2019.0,1
395350,104.0,5.0,89.23100000000001,0.3174258620689655,3.269907471264368,64.001,10.82,10.0,treated,,PA,LOCUST GROVE RETIREMENT VILLAGE,2019.0,1
395422,133.0,1.5,93.758,0.37542785722045174,3.077825849520579,70.224,10.324000000000002,10.0,treated,,PA,PENNKNOLL VILLAGE,2019.0,1
395636,104.0,2.0,92.885,0.3219472896440129,3.2338062095469255,71.269,15.780000000000001,10.0,treated,,PA,"MANOR AT ST LUKE VILLAGE,THE",2019.0,1
395791,120.0,1.5,92.15249999999999,0.8276428894000621,3.1824923528071243,80.79333333333334,8.159166666666666,12.0,treated,,PA,COMPLETE CARE AT HARSTON HALL LLC,2021.0,1
495273,222.0,4.5,93.54444444444444,0.13862393246101973,3.003697237431715,73.18444444444444,17.782222222222224,10.0,treated,,VA,Ghent Health and Rehabilitation,2019.0,1
495362,190.0,7.0,92.632,0.1002814915421657,3.007546919372762,70.401,7.898000000000001,10.0,treated,,VA,ASHLAND NURSING AND REHABILITATION,2019.0,1
515163,66.0,2.5,94.06333333333333,0.35698241522425,3.0561566083272638,78.5975,14.641666666666666,12.0,treated,,WV,COMPLETE CARE AT DAWNVIEW LLC,2021.0,1
075001,274.0,1.0,92.81284188034189,0.3385760272278159,3.9102313788052787,79.68372427983539,8.560662393162394,,control,3.0,CT,ST JOSEPH'S CENTER,,0
075011,109.57653457653458,1.0,86.29719502719503,0.4437100721831527,3.342635041414323,71.39872427983539,13.052075887075887,,control,3.0,CT,AUTUMN LAKE HEALTHCARE AT WINDSOR,,0
075028,60.0,2.5,80.40444638694639,0.6583500524097116,3.227687426145083,69.07197530864198,6.96168932918933,,control,3.0,CT,CHESTERFIELDS HEALTH CARE CENTER,,0
075034,229.0,4.5,81.63732905982907,0.6500450947904565,5.364378500589989,42.80308641975309,19.433012820512825,,control,3.0,CT,CAROLTON CHRONIC & CONVALESCENT HOSPITAL INC,,0
075044,169.52777777777777,4.0,68.96561965811966,0.4108500920064781,3.4289367461342835,62.474279835390945,17.750021367521366,,control,3.0,CT,APPLE REHAB FARMINGTON VALLEY,,0
075047,200.2008547008547,1.0,61.58715811965813,0.3353141949948676,3.5882203771906456,70.88199588477366,9.443910256410257,,control,3.0,CT,"HEWITT HEALTH & REHABILITATION CENTER, INC",,0
075056,98.0,2.0,90.2281339031339,0.32336256624697485,3.194950969580002,65.999231824417,13.998383190883192,,control,3.0,CT,BLAIR MANOR,,0
075059,120.0,0.5,91.73569088319088,0.3214273363263892,3.2533444334274346,70.1190672153635,9.168675213675215,,control,3.0,CT,BIRMINGHAM HEALTH CENTER,,0
075061,156.75641025641028,1.0,89.19183760683761,0.48725460048340263,3.987221417886655,76.52234567901235,13.17267094017094,,control,3.0,CT,STAMFORD CARE CENTER,,0
075063,199.0,2.0,87.69051282051284,0.39304774455088487,3.3603121447814885,61.7440329218107,10.466239316239317,,control,3.0,CT,AVERY NURSING HOME/NOBLE BUILDING,,0
075064,120.0,2.0,94.72348290598292,0.538252907031933,3.7283291807868815,58.060493827160485,15.994123931623932,,control,3.0,CT,MILFORD HEALTH AND REHABILITATION CENTER,,0
075069,75.0,2.0,93.80288461538463,0.5037439682235236,3.112952570476444,69.9898353909465,19.270534188034187,,control,3.0,CT,REGALCARE AT GREENWICH,,0
075070,120.0,3.0,80.36089937839938,0.38266688740876215,3.3926949091360807,65.75164609053498,14.580674695674698,,control,3.0,CT,APPLE REHAB SAYBROOK,,0
075078,103.00000000000001,2.0,96.34000000000002,0.7213151341798167,4.633379588891618,42.10139917695473,24.704914529914532,,control,3.0,CT,WESTVIEW HEALTH CARE CENTER,,0
075082,170.0,1.5,85.97234071484071,0.6647363412259719,4.394729110556892,67.3054732510288,10.236532634032635,,control,3.0,CT,HUGHES HEALTH AND REHABILITATION,,0
075085,256.0,1.0,92.76324786324787,0.5008191070202663,3.6203255826953367,58.30551440329218,18.24527777777778,,control,3.0,CT,SAINT MARY HOME,,0
075089,91.12147112147113,3.5,72.31408637658637,0.5280394407564062,3.2550194251603575,56.15843621399176,18.15170551670552,,control,3.0,CT,APPLE REHAB MIDDLETOWN,,0
075096,60.0,0.5,89.02777777777777,0.5747865837055735,3.402210253398528,89.38695473251029,6.790470085470086,,control,3.0,CT,"GROVE MANOR NURSING HOME, INC",,0
075102,94.0,3.5,77.5234188034188,0.7330315358778818,3.566246054865309,77.76683127572016,8.574380341880342,,control,3.0,CT,MERIDIAN MANOR,,0
075104,135.0,5.0,80.86663995726497,0.37801851085074767,3.6591076657260873,86.6641049382716,5.450779914529915,,control,3.0,CT,ASTORIA PARK,,0
075106,150.0,2.0,93.87369658119658,0.26636987577932525,3.4212763582111276,78.51629629629629,10.517927350427351,,control,3.0,CT,MIDDLESEX HEALTH CARE CENTER,,0
075111,87.0,3.5,70.9733695933696,0.42074076964088,3.2702362477146147,75.5127160493827,6.948275058275058,,control,3.0,CT,WOLCOTT HALL NURSING CENTER INC,,0
075113,90.0,2.0,88.9134188034188,0.7421422354642446,4.298757821843303,53.577469135802474,17.01173076923077,,control,3.0,CT,GREENTREE MANOR NURSING AND REHABILITATION CENTER,,0
075117,202.00000000000003,1.0,89.25925213675214,0.8488457439683538,3.9058433689620986,58.95860082304527,13.327564102564104,,control,3.0,CT,"NATHANIEL WITHERELL, THE",,0
075135,378.60470085470087,1.5,96.25036324786325,0.49596293789800044,4.217431753375831,59.898106995884774,28.379059829059827,,control,3.0,CT,MASONICARE HEALTH CENTER,,0
075138,120.0,2.0,88.49476495726495,0.4023816795983003,3.502394249977536,80.2417695473251,6.884423076923078,,control,3.0,CT,BLOOMFIELD CENTER FOR NURSING & REHABILITATION,,0
075144,90.0,0.0,86.13790598290599,0.5671553147211317,3.4789741547384603,65.54008230452675,11.682777777777778,,control,3.0,CT,Apple Rehab Guilford,,0
075159,150.0,0.5,88.09061965811966,0.4385202469451506,3.283286575508682,82.98818930041153,10.319102564102565,,control,3.0,CT,NORWALK CARE CENTER,,0
075163,120.0,2.5,90.99938034188035,0.7523018122657539,4.478158898768289,52.77588477366254,20.10491452991453,,control,3.0,CT,MASONICARE AT BISHOP WICKE HEALTH & REHABILITATION,,0
075181,110.0,6.5,92.0492845117845,0.38818990966419886,3.2848569169571693,60.275843621399176,20.978565786065786,,control,3.0,CT,APPLE REHAB WATERTOWN,,0
075182,180.0,3.5,71.31549145299145,0.36659404001531215,3.404383564160115,79.57584362139917,6.720000000000001,,control,3.0,CT,GRANDVIEW REHABILITATION AND HEALTHCARE CENTER,,0
075185,90.0,2.5,92.34399572649572,0.5534610775690165,3.294877497976626,76.01506172839507,11.19698717948718,,control,3.0,CT,CASSENA CARE AT NEW BRITAIN,,0
075198,120.0,1.5,76.08848290598291,0.373697641040036,3.8817434159503854,71.5835390946502,13.009358974358973,,control,3.0,CT,VILLAGE GREEN REHABILITATION AND HEALTHCARE CENTER,,0
075200,120.0,4.5,87.62944444444445,0.2800065881772791,3.955281317244583,79.31687242798353,13.187264957264958,,control,3.0,CT,Southport Center For Nursing & Rehabilitation Llc,,0
075201,98.0,9.5,92.0709188034188,0.4013367827767041,3.029491420362876,81.25345679012345,11.281346153846155,,control,3.0,CT,WEST HAVEN CENTER FOR NURSING & REHABILITATION,,0
075202,120.0,6.0,81.7354700854701,0.558489955758063,3.920446355057485,62.068148148148154,13.652649572649572,,control,3.0,CT,GEER NURSING AND REHABILITATION,,0
075204,126.0,7.5,86.88080484330484,0.32145100615646593,3.2125061973998754,70.50017832647463,17.123888888888892,,control,3.0,CT,TORRINGTON HEALTH & REHABILITATION CENTER,,0
075205,117.45920745920746,2.5,68.1573174048174,0.3692948668140976,3.3661076494730344,79.24873363262252,8.630881895881895,,control,3.0,CT,WESTFIELD CARE & REHAB CENTER,,0
075206,150.0,2.5,78.26561253561252,0.39366453202219626,3.5006648463455035,83.38068587105624,7.894650997150998,,control,3.0,CT,GREENSPRINGS HEALTHCARE AND REHABILITATION,,0
075207,120.0,7.0,95.02725783475785,0.5329958274068094,3.3049959886509734,77.22338820301783,12.767635327635329,,control,3.0,CT,REGALCARE AT PROSPECT,,0
075208,95.0,3.0,83.0675,0.3730014830505952,3.458505604193409,66.04158436213991,13.984337606837606,,control,3.0,CT,VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,,0
075210,177.30769230769232,11.5,76.84004273504274,0.4577263851707701,4.321583139223922,79.84475308641976,12.142222222222223,,control,3.0,CT,WATERBURY GARDENS NURSING AND REHAB,,0
075211,120.0,3.5,76.36115384615385,0.3800675680522133,3.7332201092832054,54.232757201646095,15.823418803418804,,control,3.0,CT,APPLE REHAB ROCKY HILL,,0
075213,120.0,1.5,82.84596153846155,0.3521481045146635,3.4598132140512714,72.29788065843621,13.838269230769232,,control,3.0,CT,CIVITA CARE CENTER AT MILFORD,,0
075214,64.36965811965813,4.5,90.13252136752138,1.5016296261219146,5.609545634544102,53.163251028806584,15.361324786324786,,control,3.0,CT,"Portland Care & Rehab Centre, INC",,0
075216,144.83333333333334,3.5,81.1238888888889,0.7514751948483082,4.315507514156298,48.7675720164609,18.293696581196585,,control,3.0,CT,MCLEAN HEALTH CENTER,,0
075221,132.0,1.5,95.69239316239316,0.4413635996751171,3.537530214778756,67.68792181069959,12.232029914529916,,control,3.0,CT,"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",,0
075222,120.0,1.0,88.98,0.3896297709317091,3.3441797264237474,71.93975308641976,10.77232905982906,,control,3.0,CT,CIVITA CARE CENTER AT CHESHIRE,,0
075230,60.0,0.5,85.35910450660451,0.5975189495294364,3.197303908421928,69.12567901234569,7.52982905982906,,control,3.0,CT,LEDGECREST HEALTH CARE CENTER,,0
075231,60.0,0.5,90.46978632478633,0.8709590812130714,3.2716256836265782,61.93648148148148,15.088653846153846,,control,3.0,CT,APPLE REHAB COLCHESTER,,0
075232,60.0,0.5,87.60113053613054,0.4454318033568876,3.424992998988791,70.35135802469136,9.99245855995856,,control,3.0,CT,COBALT LODGE HEALTH CARE AND REHABILITATION CENTER,,0
075234,180.0,3.5,69.27673076923078,0.44500951135687083,3.5589946799813887,78.64666666666668,8.78224358974359,,control,3.0,CT,QUINNIPIAC VALLEY CENTER,,0
075235,71.9888888888889,0.5,91.20132692307693,0.43689793600534604,3.4430429819899944,41.67551440329218,33.748601495726504,,control,3.0,CT,"GUILFORD HOUSE, THE",,0
075236,105.89957264957266,7.5,79.17079059829061,0.4816164013258228,3.3656152440458724,45.81045267489712,12.82818376068376,,control,3.0,CT,NOBLE HORIZONS,,0
075237,180.0,1.0,60.491004273504274,0.5316145184043892,3.624752893507304,65.50390946502057,17.139017094017095,,control,3.0,CT,COMPLETE CARE AT KIMBERLY HALL-SOUTH,,0
075238,120.0,1.5,94.53715811965813,0.43084684308548354,3.359828456345594,64.66123456790123,12.735235042735043,,control,3.0,CT,MAPLE VIEW HEALTH & REHABILITATION CENTER,,0
075239,105.0,3.0,91.48190170940171,0.5441326369104147,3.3617634464301136,74.83319615912208,12.096759259259262,,control,3.0,CT,ELLIS MANOR,,0
075241,120.0,1.5,95.68923076923078,0.5129893325767951,3.5170497119191806,50.42053497942388,22.921452991452995,,control,3.0,CT,RIVER GLEN HEALTH CARE CENTER,,0
