omega_landlord,facility_name_source,city_state_source,ccn_str,match_method,city_source,state,provider_name_latest,provider_state,year,event_time,ltcfocus_facility_name,ltcfocus_state,ltcfocus_total_beds,ltcfocus_residents,ltcfocus_avg_dailycensus,ltcfocus_medicaid_share,ltcfocus_medicare_share,ltcfocus_rn_hprd,ltcfocus_lpn_hprd,ltcfocus_cna_hprd,ltcfocus_directcare_hprd,pbj_source_files,pbj_days_observed,pbj_mean_census,pbj_total_rn_hours,pbj_total_nurse_hours,pbj_mean_rn_hprd,pbj_mean_nurse_hprd,cms_provider_name,cms_ownership_type,cms_legal_business_name,cms_chain_name,cms_overall_rating,cms_health_rating,cms_qm_rating,cms_staffing_rating,cms_rn_staffing_rating,cms_reported_total_nurse_hprd,cms_chow_last_12mos,cms_total_weighted_health_survey_score,cms_substantiated_complaints,deficiency_citations,deficiency_standard_citations,deficiency_complaint_citations,deficiency_infection_control_citations,deficiency_actual_harm_or_ij_citations,deficiency_unique_survey_dates,survey_summary_rows,survey_summary_total_health_deficiencies,survey_summary_total_fire_safety_deficiencies,survey_summary_infection_control_deficiencies
"FC Encore Meridian, LLC",The Oaks Rehabilitation and Healthcare Center,"Meridian, Mississippi",255261,exact_provider_name,Meridian,MS,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,2017,-2,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,82,68,75.25,66.22,13.51,0.248,0.914,2.238,3.4,4,365,74.86998062324149,12076.59,94678.19,0.4418095416565959,3.4646365046201764,THE OAKS REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,"RILEY HEALTHCARE, LLC",,1.0,1.0,2.0,3.0,3.0,3.69122,N,40.667,5.0,2.0,2.0,0.0,,0.0,1.0,1.0,2.0,0.0,
"FC Encore Meridian, LLC",The Oaks Rehabilitation and Healthcare Center,"Meridian, Mississippi",255261,exact_provider_name,Meridian,MS,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,2018,-1,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,82,70,74.78,72.73,14.29,,,0.0,,4,365,74.67170462387854,13204.01,93302.82,0.4853128654996824,3.426500786954274,THE OAKS REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,"RILEY HEALTHCARE, LLC",,,,,,3.0,3.40026,N,44.000,2.0,5.0,4.0,1.0,,0.0,2.0,1.0,4.0,3.0,
"FC Encore Meridian, LLC",The Oaks Rehabilitation and Healthcare Center,"Meridian, Mississippi",255261,exact_provider_name,Meridian,MS,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,2019,0,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,82,66,75.41,80.77,11.54,,,,,4,365,75.16498513563731,14183.22,94069.62,0.5173090100342472,3.430391606899143,THE OAKS REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,"RILEY HEALTHCARE, LLC",,,,,,3.0,3.26448,N,38.000,2.0,10.0,10.0,0.0,,0.0,1.0,1.0,10.0,1.0,
"FC Encore Meridian, LLC",The Oaks Rehabilitation and Healthcare Center,"Meridian, Mississippi",255261,exact_provider_name,Meridian,MS,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,2020,1,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,82,74,49.93,80.77,11.54,,,,,4,366,66.59475035833731,13836.68,84290.29000000001,0.5715860806909776,3.4531843166846414,THE OAKS REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,"RILEY HEALTHCARE, LLC",,3.0,2.0,2.0,4.0,4.0,3.4417,N,37.333,2.0,,,,,,,,,,
"FC Encore Meridian, LLC",The Oaks Rehabilitation and Healthcare Center,"Meridian, Mississippi",255261,exact_provider_name,Meridian,MS,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,2021,2,THE OAKS REHABILITATION AND HEALTHCARE CENTER,MS,82,64,65.61,80.77,11.54,,,,,4,365,65.21687967829273,7718.77,80299.05,0.3244410696422558,3.3769749093157633,THE OAKS REHABILITATION AND HEALTHCARE CENTER,For profit - Corporation,"RILEY HEALTHCARE, LLC",,1.0,1.0,1.0,2.0,2.0,3.49935,N,111.667,1.0,2.0,0.0,2.0,0.0,2.0,1.0,,,,
"FC Encore Winona, LLC",Winona Manor Health Care and Rehabilitation Center,"Winona, Mississippi",255171,exact_provider_name,Winona,MS,MIDDLETON OAKS HEALTH AND REHABILITATION,MS,2017,-2,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,MS,120,90,102.47,72.97,10.81,0.368,0.87,2.008,3.246,4,365,101.82125205712164,18347.38,132314.47,0.4917827116211702,3.5571150883140445,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,For profit - Individual,WINONA MANOR HEALTHCARE LLC,,2.0,2.0,4.0,3.0,3.0,3.49955,N,37.000,0.0,5.0,5.0,0.0,,0.0,1.0,1.0,5.0,0.0,
"FC Encore Winona, LLC",Winona Manor Health Care and Rehabilitation Center,"Winona, Mississippi",255171,exact_provider_name,Winona,MS,MIDDLETON OAKS HEALTH AND REHABILITATION,MS,2018,-1,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,MS,120,99,104.25,72.97,10.81,0.368,0.87,2.008,3.246,4,365,103.71295787545787,22805.050000000003,134928.09,0.6025124266604919,3.565487927553417,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,For profit - Individual,WINONA MANOR HEALTHCARE LLC,,,,,,4.0,3.55593,N,32.800,0.0,,,,,,,,,,
"FC Encore Winona, LLC",Winona Manor Health Care and Rehabilitation Center,"Winona, Mississippi",255171,exact_provider_name,Winona,MS,MIDDLETON OAKS HEALTH AND REHABILITATION,MS,2019,0,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,MS,120,100,104.83,82.47,7.22,,,,,4,365,104.5980231724797,24237.22,132121.44,0.6355399527961672,3.4630770579419328,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,For profit - Individual,WINONA MANOR HEALTHCARE LLC,,,,,,4.0,3.55842,N,30.667,0.0,1.0,0.0,1.0,,0.0,1.0,,,,
"FC Encore Winona, LLC",Winona Manor Health Care and Rehabilitation Center,"Winona, Mississippi",255171,exact_provider_name,Winona,MS,MIDDLETON OAKS HEALTH AND REHABILITATION,MS,2020,1,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,MS,120,90,72.18,82.47,7.22,,,,,4,366,89.58770305781175,16866.3,117746.38,0.519814242281741,3.6230575081005383,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,For profit - Individual,WINONA MANOR HEALTHCARE LLC,,1.0,2.0,1.0,2.0,2.0,3.38299,N,30.667,0.0,,,,,,,,,,
"FC Encore Winona, LLC",Winona Manor Health Care and Rehabilitation Center,"Winona, Mississippi",255171,exact_provider_name,Winona,MS,MIDDLETON OAKS HEALTH AND REHABILITATION,MS,2021,2,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,MS,120,64,76.13,57.33,20.0,,,,,4,365,75.5557121622339,19577.79,97517.93,0.7122109088643938,3.5427991420377114,WINONA MANOR HEALTH CARE AND REHABILITATION CENTER,For profit - Individual,WINONA MANOR HEALTHCARE LLC,,2.0,2.0,1.0,4.0,4.0,3.69007,N,37.333,6.0,,,,,,,,,,
