treated_ccn,control_ccn,analysis_state,match_rank,distance
165352,165331,IA,2,0.007490102705043966
165352,165263,IA,3,0.007895432526424273
165353,165489,IA,1,0.010243223374957436
165353,165565,IA,2,0.011138233875853859
165353,165504,IA,3,0.0179843905655786
165361,165447,IA,1,0.014077449320776453
165361,165446,IA,2,0.014153401178672517
165361,165439,IA,3,0.014166437291833159
165363,165318,IA,1,0.0038741154219972818
165363,165499,IA,2,0.004475414050706894
165363,165537,IA,3,0.004616761229724764
165364,165327,IA,1,0.002899539304519444
165364,165406,IA,2,0.00550968482728445
165364,165790,IA,3,0.0057888092162515226
165365,165420,IA,1,0.022831751846322523
165365,165613,IA,2,0.025002638958122228
165365,165528,IA,3,0.02528293449602502
165366,165286,IA,1,0.002258352285241655
165366,165375,IA,2,0.002288383409254885
165366,165172,IA,3,0.003457961530689141
165367,165290,IA,1,0.01291848309693333
165367,165626,IA,2,0.015690750594425054
165367,165252,IA,3,0.016133313386092835
165369,165610,IA,1,0.002198510218589911
165369,165605,IA,2,0.002276742682144728
165369,165259,IA,3,0.0023895504059453787
165380,165467,IA,1,0.005918978273951103
165380,165791,IA,2,0.007020726885313799
165380,165795,IA,3,0.007857788858494225
165386,165267,IA,1,0.0774161067669614
165386,165490,IA,2,0.07820946134197955
165386,165279,IA,3,0.0782269425699887
215092,215020,MD,1,0.00034686758992967526
215092,215328,MD,2,0.0008467736817938908
215092,215108,MD,3,0.0010741918504791545
345081,345543,NC,1,1.610391152397951e-05
345081,345268,NC,2,2.2124281182114153e-05
345081,345151,NC,3,5.203630503261385e-05
315128,315452,NJ,1,2.4986028954888245e-06
315128,315442,NJ,2,0.000309255795686747
315128,315473,NJ,3,0.0003579779037380885
315201,315166,NJ,1,0.0003781532369119666
315201,315393,NJ,2,0.0006172111153395794
315201,315413,NJ,3,0.0006832343824327274
315461,315499,NJ,1,2.3671865214420357e-06
315461,315469,NJ,2,4.870256913866618e-05
315461,315215,NJ,3,0.00015180561819897256
395483,395898,PA,1,1.67210738996346e-05
395483,395023,PA,2,5.442726208658259e-05
395483,395763,PA,3,6.905871493977263e-05
395537,395296,PA,1,0.00016930433426012338
395537,395582,PA,2,0.00029796150910914483
395537,395454,PA,3,0.0005459774916508064
395690,395479,PA,1,2.740000027665057e-05
395690,395650,PA,2,3.703960340897556e-05
395690,395494,PA,3,8.537317898202681e-05
455599,675756,TX,1,0.003019322547001206
