treated_ccn,control_ccn,analysis_state,match_rank,distance
395265,395382,PA,2,0.0002133901882209778
395265,395416,PA,3,0.00021761377398292828
395350,395545,PA,1,0.0002729555888726226
395350,395013,PA,2,0.0002936448976106343
395350,395572,PA,3,0.0003251356097346836
395422,395643,PA,1,4.812048740473682e-05
395422,395342,PA,2,8.25762393925622e-05
395422,396054,PA,3,9.166294378552473e-05
395636,396056,PA,1,0.00034857225827878216
395636,395031,PA,2,0.0004346245913562814
395636,396106,PA,3,0.00044152991222850754
395791,395535,PA,1,8.214802726093373e-06
395791,395044,PA,2,0.00011696765432267497
395791,395698,PA,3,0.0002620142579339013
495273,495121,VA,1,0.00035489522851199495
495273,495079,VA,2,0.0012756154953351
495273,495071,VA,3,0.0022748744519085276
495362,495117,VA,1,0.0002837833406427251
495362,495390,VA,2,0.000641269250660291
495362,495223,VA,3,0.0022628467409495576
515163,515105,WV,1,0.00014729303366393248
515163,515131,WV,2,0.0004394367565939278
515163,515081,WV,3,0.0009233614514942076
